"RIGHT","LEFT","SCUTE.REMOVED","PIT.TAG/CWT/FLOY","STOCKING.LOCATION","HATCHERY","FEMALE","MALE","STOCK.DATE","SPAWN.DATE","YEAR.CLASS","NUMBERS.STOCKED","AGE.AT.STOCKING","YEARLING.EQUIVALENTS","RPMA"
"Purple","H-Pink",NA,NA,"Wolf Point","Gavins Point","470A675627","7F7F066471",2008-09-14,2008-06-26,2008,1222,"Fingerling",306,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","115557463A","4310556551",2008-09-24,2008-06-26,2008,332,"Fingerling",83,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","470A675627","115626162A",2008-09-24,2008-06-26,2008,2006,"Fingerling",502,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","1F497F1801","115712453A",2008-09-24,2008-06-26,2008,930,"Fingerling",233,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","1F497F1801","1F4849755B",2008-09-24,2008-06-26,2008,431,"Fingerling",108,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","115559532A","1F4A13592B",2008-09-24,2008-06-26,2008,24,"Fingerling",6,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","115557463A","220E5E551E",2008-09-24,2008-06-26,2008,265,"Fingerling",66,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","115557463A","444334021A",2008-09-24,2008-06-26,2008,204,"Fingerling",51,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","1F497F1801","7F7D2D723D",2008-09-24,2008-06-26,2008,545,"Fingerling",136,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","115559532A","7F7D437250",2008-09-24,2008-06-26,2008,199,"Fingerling",50,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","470A675627","7F7E55466D",2008-09-24,2008-06-26,2008,2645,"Fingerling",661,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","1F497F1801","7F7F066471",2008-09-24,2008-06-26,2008,8,"Fingerling",2,2
"Purple","H-Orange",NA,NA,"Culbertson","Garrison","Mix","Mix",2008-09-24,2008-06-26,2008,121,"Fingerling",30,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","115557463A","4310556551",2008-09-24,2008-06-26,2008,332,"Fingerling",83,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","470A675627","115626162A",2008-09-24,2008-06-26,2008,2022,"Fingerling",506,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","1F497F1801","115712453A",2008-09-24,2008-06-26,2008,951,"Fingerling",238,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","1F497F1801","1F4849755B",2008-09-24,2008-06-26,2008,431,"Fingerling",108,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","115559532A","1F4A13592B",2008-09-24,2008-06-26,2008,25,"Fingerling",6,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","115557463A","220E5E551E",2008-09-24,2008-06-26,2008,265,"Fingerling",66,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","115557463A","444334021A",2008-09-24,2008-06-26,2008,204,"Fingerling",51,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","1F497F1801","7F7D2D723D",2008-09-24,2008-06-26,2008,714,"Fingerling",179,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","115559532A","7F7D437250",2008-09-24,2008-06-26,2008,199,"Fingerling",50,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","470A675627","7F7E55466D",2008-09-24,2008-06-26,2008,1263,"Fingerling",316,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","1F497F1801","7F7F066471",2008-09-24,2008-06-26,2008,8,"Fingerling",2,2
